"","Var","pars","RR"
"1","Intercept",5.31,0.9
"2","n",-0.52,0.9
"3","pED",2.13,0.9
"4","pELA",1.81,0.9
"5","pELL",-1.37,0.9
"6","pMath",-0.93,0.9
"7","pMin",-1.61,0.9
"8","Suburban",0.54,0.9
"9","ToRu",1.47,0.9
"10","Urban",-1.32,0.9
"11","Intercept",4.53,0.8
"12","n",-0.24,0.8
"13","pED",1.88,0.8
"14","pELA",0.12,0.8
"15","pELL",-0.61,0.8
"16","pMath",0.57,0.8
"17","pMin",-4.29,0.8
"18","Suburban",0.78,0.8
"19","ToRu",2.32,0.8
"20","Urban",0.57,0.8
"21","Intercept",3.08,0.7
"22","n",-0.24,0.7
"23","pED",1.26,0.7
"24","pELA",-1.06,0.7
"25","pELL",-0.21,0.7
"26","pMath",1.42,0.7
"27","pMin",-3.91,0.7
"28","Suburban",0.61,0.7
"29","ToRu",1.9,0.7
"30","Urban",0.38,0.7
"31","Intercept",1.36,0.6
"32","n",-0.16,0.6
"33","pED",1.28,0.6
"34","pELA",-0.07,0.6
"35","pELL",-0.24,0.6
"36","pMath",0.49,0.6
"37","pMin",-2.67,0.6
"38","Suburban",0.36,0.6
"39","ToRu",1.42,0.6
"40","Urban",0.21,0.6
"41","Intercept",1.06,0.5
"42","n",-0.21,0.5
"43","pED",1.13,0.5
"44","pELA",0.52,0.5
"45","pELL",-0.17,0.5
"46","pMath",-0.1,0.5
"47","pMin",-1.8,0.5
"48","Suburban",-0.74,0.5
"49","ToRu",2.08,0.5
"50","Urban",-0.89,0.5
"51","Intercept",-0.31,0.4
"52","n",-0.21,0.4
"53","pED",0.74,0.4
"54","pELA",-0.88,0.4
"55","pELL",-0.24,0.4
"56","pMath",1.15,0.4
"57","pMin",-1.29,0.4
"58","Suburban",-0.65,0.4
"59","ToRu",0.7,0.4
"60","Urban",-0.86,0.4
"61","Intercept",-1.09,0.3
"62","n",-0.21,0.3
"63","pED",0.81,0.3
"64","pELA",0.2,0.3
"65","pELL",-0.14,0.3
"66","pMath",0.13,0.3
"67","pMin",-1.19,0.3
"68","Suburban",-0.09,0.3
"69","ToRu",0.59,0.3
"70","Urban",-0.24,0.3
"71","Intercept",-1.84,0.2
"72","n",-0.19,0.2
"73","pED",0.88,0.2
"74","pELA",0.34,0.2
"75","pELL",-0.21,0.2
"76","pMath",0.03,0.2
"77","pMin",-1.05,0.2
"78","Suburban",-0.1,0.2
"79","ToRu",0.5,0.2
"80","Urban",-0.25,0.2
"81","Intercept",-4.73,0.1
"82","n",-0.17,0.1
"83","pED",0.81,0.1
"84","pELA",0.67,0.1
"85","pELL",-0.15,0.1
"86","pMath",-0.32,0.1
"87","pMin",-0.92,0.1
"88","Suburban",-0.17,0.1
"89","ToRu",1.79,0.1
"90","Urban",-0.29,0.1
